FID,Geocodigo,Nome,MoradDPPOTotChuva,MoradDPPOTotFonte,MoradDPPOTotOutra,MoradDPPOTotPipa,MoradDPPOTotPocoProfund,MoradDPPOTotPocoRaso,MoradDPPOTotRedeGeral,MoradDPPOTotRios,MoradDPPOTotTot,PercMoradDPPOTotChuva,PercMoradDPPOTotFonte,PercMoradDPPOTotOutra,PercMoradDPPOTotPipa,PercMoradDPPOTotPocoProfund,PercMoradDPPOTotPocoRaso,PercMoradDPPOTotRedeGeral,PercMoradDPPOTotRios
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c41,1100015,Alta Floresta D'Oeste - RO,4,2219,13,7,5192,8598,5342,65,21440,0.02,10.35,0.06,0.03,24.22,40.1,24.92,0.3
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c40,1100023,Ariquemes - RO,5,763,45,,19347,23763,52225,4,96152,0.01,0.79,0.05,,20.12,24.71,54.32,0
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3f,1100031,Cabixi - RO,,299,,,1837,1195,2016,4,5351,,5.59,,,34.33,22.33,37.68,0.07
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3e,1100049,Cacoal - RO,,4498,48,5,7487,5855,68574,27,86494,,5.2,0.06,0.01,8.66,6.77,79.28,0.03
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3d,1100056,Cerejeiras - RO,,53,1,,3898,4141,7705,,15798,,0.34,0.01,,24.67,26.21,48.77,
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3c,1100064,Colorado do Oeste - RO,,1194,7,,1853,1642,10943,24,15663,,7.62,0.04,,11.83,10.48,69.87,0.15
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3b,1100072,Corumbiara - RO,,655,8,,276,5010,1551,3,7503,,8.73,0.11,,3.68,66.77,20.67,0.04
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c3a,1100080,Costa Marques - RO,,38,18,,2422,7603,2409,36,12526,,0.3,0.14,,19.34,60.7,19.23,0.29
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c39,1100098,Espigão D'Oeste - RO,2,2896,19,56,2986,10192,12956,222,29329,0.01,9.87,0.06,0.19,10.18,34.75,44.17,0.76
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c38,1100106,Guajará-Mirim - RO,9,301,218,2,12487,9121,15161,1664,38963,0.02,0.77,0.56,0.01,32.05,23.41,38.91,4.27
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c37,1100114,Jaru - RO,6,2015,24,,5168,20211,22908,22,50354,0.01,4,0.05,,10.26,40.14,45.49,0.04
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c36,1100122,Ji-Paraná - RO,9,1319,174,,18530,29779,73866,75,123752,0.01,1.07,0.14,,14.97,24.06,59.69,0.06
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c35,1100130,Machadinho D'Oeste - RO,,3239,37,,8820,6432,11800,100,30428,,10.64,0.12,,28.99,21.14,38.78,0.33
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c34,1100148,Nova Brasilândia D'Oeste - RO,,2182,13,6,2266,5825,5377,5,15674,,13.92,0.08,0.04,14.46,37.16,34.31,0.03
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c33,1100155,Ouro Preto do Oeste - RO,7,1233,23,,4385,9652,19521,12,34833,0.02,3.54,0.07,,12.59,27.71,56.04,0.03
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c32,1100189,Pimenta Bueno - RO,2,2022,16,8,3118,2979,26459,164,34768,0.01,5.82,0.05,0.02,8.97,8.57,76.1,0.47
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c31,1100205,Porto Velho - RO,82,2061,3722,112,156746,125241,167033,2096,457093,0.02,0.45,0.81,0.02,34.29,27.4,36.54,0.46
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c30,1100254,Presidente Médici - RO,,1357,4,,2658,5670,9563,22,19274,,7.04,0.02,,13.79,29.42,49.62,0.11
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2f,1100262,Rio Crespo - RO,,75,4,,802,2268,302,5,3456,,2.17,0.12,,23.21,65.63,8.74,0.14
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2e,1100288,Rolim de Moura - RO,1,803,20,8,4484,13671,37117,33,56137,0,1.43,0.04,0.01,7.99,24.35,66.12,0.06
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2d,1100296,Santa Luzia D'Oeste - RO,,940,4,,1330,2722,2388,7,7391,,12.72,0.05,,17.99,36.83,32.31,0.09
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2c,1100304,Vilhena - RO,27,1019,45,40,4486,524,88958,230,95329,0.03,1.07,0.05,0.04,4.71,0.55,93.32,0.24
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2b,1100320,São Miguel do Guaporé - RO,,393,16,,3984,13906,3245,4,21548,,1.82,0.07,,18.49,64.53,15.06,0.02
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c2a,1100338,Nova Mamoré - RO,7,525,95,,4128,18123,2341,144,25363,0.03,2.07,0.37,,16.28,71.45,9.23,0.57
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c29,1100346,Alvorada D'Oeste - RO,,571,11,,2206,3474,6832,10,13104,,4.36,0.08,,16.83,26.51,52.14,0.08
sidra_6909_PercMoradDPPOTotRedeGeral_munic_22_pol.fid-50987bf4_191f1837438_-1c28,1100379,Alto Alegre dos Parecis - RO,1,1646,9,,3720,3849,2201,34,11460,0.01,14.36,0.08,,32.46,33.59,19.21,0.3
